LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:5307:3000::67
2001:660:5307:3000::69
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:1000
initial_value:65
IP_address:2001:660:4701:f080::4
0;65
529;65
671;72.5
696;51.25
1573;51.25
1617;51.25
1675;66.25
2591;66.25
2629;59.375
2710;52.1875
3609;52.1875
3648;52.1875
3711;52.34375
4629;52.34375
4661;51.5234375
4741;50.56640625
5642;50.56640625
5678;50.56640625
5744;50.380859375
6658;50.380859375
6690;50.16845703125
6771;50.118408203125
7671;50.118408203125
7733;50.118408203125
7792;50.0421142578125
8711;50.0421142578125
8737;50.01678466796875
8797;50.02960205078125
9723;50.02960205078125
9772;50.02960205078125
9835;50.00419616699219
10732;50.00419616699219
10764;49.99309539794922
10835;50.00422477722168
11744;50.00422477722168
11780;50.00422477722168
11863;49.998273849487305
12763;49.998273849487305
12801;49.996689558029175
12859;50.00031232833862
13780;50.00031232833862
13816;50.00031232833862
13893;49.999172389507294
14797;49.999172389507294
14834;49.99905526638031
14883;49.99993558973074
15814;49.99993558973074
15846;49.99993558973074
15928;49.99976381659508
16825;49.99976381659508
16861;49.99978797044605
16911;49.99996242579073
17845;49.99996242579073
17876;49.99996242579073
17964;49.99994699261151
18862;49.99994699261151
18908;49.99996108293999
18935;49.99998867730028
19883;49.99998867730028
19914;49.99998867730028
20001;49.999990270735
20899;49.999990270735
20925;49.99999411838871
20959;49.99999716932507
21911;49.99999716932507
21943;49.99999716932507
22041;49.99999852959718
22929;49.99999852959718
22960;49.99999959110028
22995;49.99999946236528
23946;49.99999946236528
24001;49.99999946236528
24091;49.99999989777507
24992;49.99999989777507
25017;49.999999819211034
25024;49.99999991197161
26005;49.99999991197161
26048;49.99999986559132
26114;49.99999999763391
27022;49.99999999763391
27049;49.99999995770152
27061;50.00000000810477
28040;50.00000000810477
28088;49.999999982903155
28143;50.000000012009295
29059;50.000000012009295
29087;49.9999999961584
29098;50.00000000256971
30077;50.00000000256971
30115;49.99999999936405
30171;50.00000000460515
31098;50.00000000460515
31123;50.00000000037691
31134;50.000000000615394
32115;50.000000000615394
32172;50.000000000496144
32203;50.00000000121091
33133;50.00000000121091
33163;50.00000000030641
33202;50.00000000012035
34158;50.00000000012035
34192;50.000000000213376
34244;50.000000000256215
35176;50.000000000256215
35228;50.00000000009871
35235;50.00000000001869
36186;50.00000000001869
36227;50.000000000058705
36265;50.00000000004405
37203;50.00000000004405
37230;50.00000000002203
37252;50.00000000001284
38214;50.00000000001284
38258;50.00000000001283
38299;50.0000000000055
39235;50.0000000000055
39283;50.0000000000047
39302;49.999999999999886
40282;49.999999999999886
40336;49.99999999999897
40572;50.00000000000138
41305;50.00000000000138
41315;50.00000000000134
41328;49.999999999999815
42313;49.999999999999815
42353;50.00000000000058
42364;49.999999999999964
43331;49.999999999999964
43352;50.00000000000018
43363;49.99999999999996
44349;49.99999999999996
44383;50.00000000000006
44394;49.999999999999936
45366;49.999999999999936
45381;50.000000000000014
45399;49.999999999999986
46384;49.999999999999986
46419;49.99999999999997
46430;49.999999999999986
47404;49.999999999999986
47418;50
47441;50
48425;50
48448;50
48455;50
49435;50
49450;50
49482;49.999999999999986
50454;49.999999999999986
50479;50
50486;50
51464;50
51474;49.99999999999999
51493;50
52474;50
52510;50
52532;50
53494;50
53515;50
53534;50
54515;50
54550;50
54568;50
55535;50
55547;50
55602;50
56563;50
56593;50
56619;50
57573;50
57598;50
57619;50
58589;50
58650;50
58669;50
59601;50
59629;50
59640;50
60625;50
60658;50
60679;50
61644;50
61665;50
61676;50
62655;50
62697;50
62716;50
63672;50
63703;50
63709;50
64682;50
64714;50
64742;50
65698;50
65758;50
65788;50
66709;50
66740;50
66841;50
67722;50
67759;50
67836;50
68737;50
68767;50
68867;50
69747;50
69782;50
69859;50
70764;50
70800;50
70901;50
71780;50
71810;50
71885;50
72790;50
72825;50
73806;50
74822;50
75839;50
