LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:5307:3000::69
2001:660:5307:3000::6b
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:1000
initial_value:25
IP_address:2001:660:4701:f080::6
0;25
503;25
585;30
881;38.75
1535;38.75
1575;38.75
1689;45
2560;45
2593;45
2914;47.03125
3573;47.03125
3612;47.03125
3729;49.609375
4589;49.609375
4616;49.609375
4948;49.5703125
5601;49.5703125
5637;49.5703125
5758;50.068359375
6618;50.068359375
6651;50.068359375
6983;49.9664306640625
7638;49.9664306640625
7698;49.9664306640625
7785;50.04241943359375
8674;50.04241943359375
8715;50.04241943359375
9018;50.00110626220703
9693;50.00110626220703
9748;50.00110626220703
9814;50.01535415649414
10710;50.01535415649414
10741;50.01535415649414
11065;50.00364542007446
11721;50.00364542007446
11756;50.00364542007446
11845;50.00393509864807
12738;50.00393509864807
12765;50.00393509864807
13086;50.001319497823715
13749;50.001319497823715
13782;50.001319497823715
13872;50.00081591308117
14767;50.00081591308117
14798;50.00081591308117
15116;50.00033817254007
15785;50.00033817254007
15822;50.00033817254007
15896;50.000136881135404
16800;50.000136881135404
16837;50.000136881135404
17151;50.00007011753041
17817;50.00007011753041
17853;50.00007011753041
17922;50.00001627166057
18835;50.00001627166057
18874;50.00001627166057
19187;50.000011763222574
19850;50.000011763222574
19885;50.000011763222574
19949;50.00000022026143
20867;50.00000022026143
20913;50.00000022026143
21218;50.0000014979355
21884;50.0000014979355
21922;50.0000014979355
21995;49.999999333630285
22901;49.999999333630285
22938;49.999999333630285
23266;50.000000018928716
23918;50.000000018928716
23997;50.000000018928716
24055;49.999999740647
24965;49.999999740647
25008;49.999999740647
25309;49.99999996994696
25982;49.99999996994696
26018;49.99999996994696
26036;49.999999894579005
26999;49.999999894579005
27031;49.999999917769145
27351;49.99999997771185
28016;49.99999997771185
28071;49.999999967706685
28083;49.999999967706685
29039;49.999999967706685
29076;49.9999999803075
29388;49.99999999293328
30058;49.99999999293328
30089;49.99999999293328
30108;49.99999999454584
31074;49.99999999454584
31112;49.99999999614867
31443;49.99999999830767
32091;49.99999999830767
32127;49.99999999830767
32149;49.999999999342286
33108;49.999999999342286
33144;49.99999999940191
33485;49.99999999966902
34125;49.99999999966902
34162;49.99999999966903
34183;49.99999999998772
35143;49.99999999998772
35223;49.999999999941195
35505;49.99999999994859
36159;49.99999999994859
36190;49.9999999999486
36240;50.000000000003645
37176;50.000000000003645
37212;50.00000000000365
37529;49.99999999999495
38187;49.99999999999495
38217;49.99999999999494
38273;50.00000000000389
39203;50.00000000000389
39252;50.000000000003894
39560;50.00000000000031
40233;50.00000000000031
40266;50.00000000000031
40406;50.00000000000251
41252;50.00000000000251
41283;50.00000000000131
41886;50.0000000000002
42263;50.0000000000002
42298;50.0000000000002
42337;50.00000000000077
43277;50.00000000000077
43304;50.0000000000004
43922;50.00000000000012
44286;50.00000000000012
44322;50.000000000000114
44364;50.00000000000014
45308;50.00000000000014
45338;50.000000000000085
45951;50.000000000000036
46325;50.000000000000036
46362;50.00000000000003
46393;50.00000000000002
47340;50.00000000000002
47370;50.000000000000014
47984;50
48351;50
48387;50
48429;50
49368;50
49400;50
50015;50
50379;50
50414;50
50461;50
51396;50
51426;49.999999999999986
52044;49.99999999999999
52407;49.99999999999999
52444;49.999999999999986
52493;49.99999999999999
53423;49.99999999999999
53453;49.999999999999986
54078;49.99999999999999
54440;49.99999999999999
54477;50
54520;50
55457;50
55489;50
56109;50
56467;50
56503;50
56567;50
57486;50
57516;50
58155;50
58498;50
58543;50
58651;50
59513;50
59543;50
60196;50
60523;50
60559;50
60648;50
61546;50
61577;50
62235;50
62565;50
62601;50
62688;50
63581;50
63614;50
64259;50
64593;50
64630;50
64723;50
65611;50
65665;50
66354;50
66628;50
66677;50
66820;50
67644;50
67680;50
68399;50
68659;50
68694;50
68849;50
69677;50
69707;50
70435;50
70692;50
70728;50
70873;50
71709;50
71744;50
72471;50
72725;50
72760;50
72903;50
73743;50
74758;50
75775;50
76793;50
77808;50
