LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:4701:f080::4
2001:660:4701:f080::6
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:1000
initial_value:35
IP_address:2001:660:5307:3000::69
0;35
556;30
654;30
730;51.25
1605;51.25
1672;51.25
1712;45
2582;45
2696;45
2733;52.1875
3635;52.1875
3716;52.1875
3752;49.609375
4609;49.609375
4734;49.609375
4759;50.56640625
5666;50.56640625
5744;50.56640625
5781;50.068359375
6643;50.068359375
6763;50.068359375
6789;50.118408203125
7708;50.118408203125
7772;50.118408203125
7808;50.04241943359375
8706;50.04241943359375
8789;50.04241943359375
8815;50.02960205078125
9752;50.02960205078125
9801;50.02960205078125
9836;50.01535415649414
10731;50.01535415649414
10815;50.01535415649414
10855;50.00422477722168
11768;50.00422477722168
11831;50.00422477722168
11867;50.00393509864807
12757;50.00393509864807
12849;50.00393509864807
12880;50.00031232833862
13804;50.00031232833862
13858;50.00031232833862
13895;50.00081591308117
14790;50.00081591308117
14873;50.00081591308117
14904;49.99993558973074
15835;49.99993558973074
15882;49.99993558973074
15919;50.000136881135404
16825;50.000136881135404
16897;50.000136881135404
16934;49.99996242579073
17868;49.99996242579073
17911;49.99996242579073
17943;50.00001627166057
18861;50.00001627166057
18923;50.00001627166057
18958;49.99998867730028
19906;49.99998867730028
19938;49.99998867730028
19991;50.00000022026143
20892;50.00000022026143
20948;50.00000022026143
20978;49.99999716932507
21935;49.99999716932507
21963;49.99999716932507
22025;49.999999333630285
22926;49.999999333630285
22982;49.999999333630285
23018;49.99999946236528
23985;49.99999946236528
23999;49.99999946236528
24117;49.999999740647
25000;49.999999740647
25009;49.999999740647
25035;49.99999981921104
26021;49.99999981921104
26037;49.99999986559132
26059;49.999999940959285
27022;49.999999917769145
27040;49.999999917769145
27071;49.999999957701526
28051;49.999999957701526
28069;49.99999998290315
28094;49.999999992908315
29064;49.9999999803075
29074;49.9999999803075
29110;49.999999996158394
30089;49.999999996158394
30104;49.99999999936406
30129;49.9999999977515
31099;49.999999996148674
31110;49.999999996148674
31161;50.0000000003769
32130;50.0000000003769
32148;50.000000000496144
32171;49.99999999946154
33132;49.99999999940191
33151;49.99999999940191
33210;50.000000000306414
34167;50.000000000306414
34184;50.00000000021338
34203;49.99999999989468
35181;49.9999999999412
35201;49.9999999999412
35247;50.00000000009871
36216;50.0000000000587
36226;50.0000000000587
36262;50.00000000000365
37200;50.00000000000365
37241;50.00000000000365
37271;50.00000000001283
38247;50.00000000001283
38260;50.00000000001283
38301;50.000000000003894
39236;50.000000000003894
39274;50.000000000003894
39305;50.000000000004704
40284;50.000000000004704
40310;50.000000000002295
40527;50.0000000000001
41272;50.00000000000131
41306;50.00000000000131
41332;50.000000000001336
42323;50.000000000001336
42343;50.000000000000576
42360;50.000000000000014
43296;50.00000000000039
43340;50.00000000000039
43373;50.00000000000017
44350;50.00000000000017
44373;50.000000000000064
44390;50.00000000000004
45329;50.00000000000009
45367;50.00000000000009
45402;50.000000000000014
46378;50.000000000000014
46410;50
46420;50.000000000000014
47360;50.00000000000002
47398;50.00000000000002
47440;50
48415;50
48445;50
48455;50
49387;50
49434;50
49472;50
50451;50
50473;49.99999999999999
50482;49.999999999999986
51415;49.99999999999999
51460;49.99999999999999
51496;50
52478;50
52500;50
52516;49.999999999999986
53444;49.99999999999999
53496;49.99999999999999
53536;50
54506;50
54540;50
54550;50
55477;50
55523;50
55558;50
56553;50
56584;50
56594;50
57505;50
57582;50
57620;50
58599;50
58660;50
58677;50
59533;50
59617;50
59651;50
60634;50
60649;50
60670;50
61566;50
61652;50
61688;50
62674;50
62686;50
62709;50
63604;50
63692;50
63722;50
64706;50
64713;50
64743;50
65634;50
65756;50
65818;50
66730;50
66808;50
66838;50
67667;50
67823;50
67857;50
68757;50
68837;50
68866;50
69697;50
69850;50
69881;50
70789;50
70860;50
70889;50
71732;50
71875;50
71903;50
72814;50
72891;50
72920;50
