LOG_FILE:
alpha:0.5
IP_neighbors:
2001:660:4701:f080::6
2001:660:4701:f080::2
LEGEND:
time[ms];consensus_value
FIRST_DATA
timer_interval:1000
initial_value:5
IP_address:2001:660:5307:3000::6b
0;5
729;47.5
853;47.5
907;38.75
1563;38.75
1882;38.75
1922;45.625
2736;49.0625
2901;49.0625
2937;47.03125
3599;47.03125
3919;47.03125
3953;48.8671875
4773;49.53125
4937;49.53125
4968;49.5703125
5626;49.5703125
5953;49.5703125
5989;49.76318359375
6811;49.864501953125
6970;49.864501953125
7006;49.9664306640625
7674;49.9664306640625
7987;49.9664306640625
8096;49.9407958984375
8870;49.95979309082031
9005;49.95979309082031
9041;50.00110626220703
9727;50.00110626220703
10021;50.00110626220703
10059;49.99155044555664
10904;49.991936683654785
11039;49.991936683654785
11089;50.00364542007446
11745;50.00364542007446
12057;50.00364542007446
12094;49.999375343322754
12935;49.99870389699936
13072;49.99870389699936
13109;50.001319497823715
13772;50.001319497823715
14087;50.001319497823715
14117;50.00012882053852
14962;49.99986043199897
15103;49.99986043199897
15139;50.00033817254007
15810;50.00033817254007
16122;50.00033817254007
16160;50.000075148418546
16990;50.00000335392542
17138;50.00000335392542
17174;50.00007011753041
17841;50.00007011753041
18157;50.00007011753041
18194;50.00002264539944
19021;50.00000725478458
19173;50.00000725478458
19210;50.000011763222574
19873;50.000011763222574
20189;50.000011763222574
20246;50.00000566134986
21053;50.00000277560957
21205;50.00000277560957
21241;50.0000014979355
21910;50.0000014979355
22220;50.0000014979355
22295;50.00000107526944
23083;50.00000070422715
23253;50.00000070422715
23289;50.000000018928716
23970;50.000000018928716
24269;50.000000018928716
24396;50.00000026881736
25147;50.00000019924693
25287;50.00000019924693
25332;49.99999996994696
26006;49.99999996994696
26320;49.99999996994696
26356;50.00000003419369
27167;50.00000003765456
27338;50.00000003765456
27374;49.99999997771185
28050;49.99999997771185
28355;49.99999997771185
28389;50.000000001271886
29197;50.000000005559066
29375;50.000000005559066
29411;49.99999999293328
30080;49.99999999293328
30392;49.99999999293328
30428;49.9999999990077
31226;50.000000000466684
31409;50.000000000466684
31466;49.99999999830767
32115;49.99999999830767
32430;49.99999999830767
32475;49.999999999573234
33265;49.999999999936136
33448;49.999999999936136
33545;49.99999999966903
34151;49.99999999966903
34465;49.99999999966903
34502;49.999999999882604
35346;49.999999999955996
35485;49.999999999955996
35525;49.9999999999486
36181;49.9999999999486
36502;49.9999999999486
36531;49.99999999997431
37364;49.99999999998624
37517;49.99999999998624
37549;49.99999999999494
38209;49.99999999999495
38537;49.99999999999495
38576;49.99999999999541
39390;49.99999999999673
39549;49.99999999999673
39580;50.00000000000031
40258;50.00000000000031
40567;50.00000000000031
40789;49.99999999999885
41414;49.9999999999991
41873;49.9999999999991
41908;50.0000000000002
42286;50.0000000000002
42888;50.0000000000002
42924;49.99999999999987
43445;49.999999999999844
43908;49.999999999999844
43944;50.000000000000114
44311;50.000000000000114
44922;50.000000000000114
44951;50
45472;49.99999999999998
45938;49.99999999999998
45973;50.00000000000003
46350;50.00000000000003
46956;50.00000000000003
46992;50
47498;49.99999999999999
47970;49.99999999999999
48006;50
48375;50
48986;50
49020;50
49535;50
50000;50
50037;50
50402;50
51018;50
51054;50
51561;50
52033;50
52062;49.999999999999986
52431;49.999999999999986
53049;49.999999999999986
53086;50
53589;50
54065;50
54100;50
54465;49.99999999999999
55080;49.99999999999999
55123;50
55628;50
56096;50
56129;50
56491;50
57112;50
57141;50
57670;50
58141;50
58177;50
58530;50
59169;50
59206;50
59721;50
60185;50
60215;50
60547;50
61204;50
61239;50
61770;50
62220;50
62257;50
62589;50
63236;50
63271;50
63801;50
64250;50
64277;50
64618;50
65264;50
65300;50
65890;50
66313;50
66397;50
66648;50
67372;50
67403;50
67950;50
68383;50
68420;50
68682;50
69403;50
69467;50
69984;50
70420;50
70456;50
70716;50
71439;50
71482;50
72016;50
72456;50
72492;50
72748;50
73473;50
73509;50
74050;50
