LOG_FILE:
alpha:0.5
timer_interval:1000
2001:660:4701:f080::a
2001:660:3207:400::66
LEGEND:
time[ms];consensus_value
FIRST_DATA
initial_value:84
IP_address:2001:660:4701:f080::c
IP_neighbors:
0;84
286;84
365;62.5
379;60.25
1338;60.25
1379;58.375
1408;58.375
2364;58.375
2385;53.3359375
2434;54.63671875
3003;53.986328125
3376;53.986328125
3414;54.14453125
3468;54.14453125
4394;54.14453125
4415;53.177459716796875
4493;53.62803649902344
5404;53.62803649902344
5446;53.71431350708008
5564;53.71431350708008
6038;53.18206024169922
6423;53.18206024169922
6449;53.10847866535187
6560;53.43324285745621
7445;53.43324285745621
7480;53.506895378232
7600;53.506895378232
8462;53.506895378232
8482;53.28943167254329
8664;53.43310515396297
9084;53.36126841325313
9496;53.36126841325313
9533;53.436221917159855
9745;53.436221917159855
10528;53.436221917159855
10553;53.328108788860845
10778;53.40751008164807
11545;53.40751008164807
11581;53.429011993010135
11808;53.43438747085065
12110;53.34672649614299
12563;53.34672649614299
12589;53.32917168527706
12856;53.3847321609972
13584;53.3847321609972
13619;53.395964738493134
13892;53.39877288286712
14603;53.39877288286712
14622;53.35638052865734
14915;53.37971454753325
15145;53.3680475380953
15622;53.3680475380953
15658;53.380073498952626
15944;53.38307998916696
16639;53.38307998916696
16679;53.36027263022958
16974;53.37343934738267
17661;53.37343934738267
17695;53.37698388045365
18020;53.37787001372139
18198;53.36289204680448
18678;53.36289204680448
18705;53.36289204680449
19029;53.370102732291826
19699;53.370102732291826
19733;53.37176660499816
20053;53.37218257317474
20732;53.37218257317474
20763;53.36303202151999
21079;53.36764389716488
21260;53.36307301716584
21783;53.36307301716584
21862;53.36651014305954
22129;53.36736942453297
22800;53.36736942453297
22825;53.36341653158574
23194;53.3658223827211
23816;53.3658223827211
23850;53.36645067837807
24219;53.36660775229231
24268;53.36378101321214
24835;53.36378101321214
24863;53.36378101321213
25251;53.36506388321087
25851;53.36506388321087
25885;53.36535033790163
26286;53.365421951574326
26867;53.365421951574326
26892;53.36364717660142
27290;53.36320590193721
27317;53.36437851875366
27887;53.36437851875366
27945;53.364615778652194
28345;53.36467509362682
28949;53.36467509362682
28979;53.363716759550854
29370;53.36420110580259
29965;53.36420110580259
30000;53.36427503095207
30324;53.36375631173247
30398;53.36403415262964
30983;53.36403415262964
31009;53.36384120990886
31431;53.36401845274939
31998;53.36401845274939
32032;53.36404523779983
32457;53.36405193406244
33019;53.36405193406244
33043;53.36371298125134
33355;53.36371298125134
33481;53.36388812063588
34036;53.36388812063588
34071;53.36390559575105
34507;53.36390996452984
35053;53.36390996452984
35094;53.36368895469521
35530;53.36378427922798
36104;53.36378427922798
36151;53.363790763683284
36397;53.36367753836889
36582;53.36373577213991
37123;53.36373577213991
37170;53.363663043783845
37635;53.363711656127435
38144;53.363711656127435
38213;53.363711656127435
38663;53.36371778679886
39161;53.36371778679886
39185;53.36365100287906
39420;53.36365100287907
39691;53.363685954571054
40178;53.363685954571054
40218;53.363685954571054
40729;53.36368973496546
41195;53.36368973496546
41223;53.36364566388545
41753;53.363665354576625
42212;53.363665354576625
42245;53.363665354576625
42463;53.363643134662794
42821;53.36365690473652
43228;53.36365690473652
43249;53.36364116138602
43814;53.36365257496991
44242;53.36365257496991
44270;53.36365257496992
44846;53.363654240864356
45258;53.363654240864356
45280;53.36363930559821
45508;53.36363930559821
45878;53.363648022652114
46275;53.363648022652114
46305;53.363648022652114
46912;53.36364885876592
47294;53.36364885876592
47314;53.36363857528775
47943;53.36364346766978
48311;53.36364346766978
48339;53.36364346766979
48542;53.363638147659216
48974;53.36364116138145
49326;53.36364116138145
49350;53.36363764328649
50006;53.36364024419377
50342;53.36364024419377
50370;53.363640244193775
51037;53.36364053927838
51360;53.36364053927838
51384;53.36363718288604
51575;53.36363718288604
52068;53.36363900862451
52379;53.36363900862451
52413;53.36363900862452
53101;53.36363902408886
53398;53.36363902408886
53421;53.363636890631966
54132;53.36363796509258
54414;53.36363796509258
54498;53.36363796509258
54612;53.363636848977364
55161;53.363637487544864
55430;53.363637487544864
55455;53.36363673689083
56192;53.3636372919872
56450;53.3636372919872
56483;53.3636372919872
57241;53.363637346169064
57465;53.363637346169064
57484;53.36363663182712
57655;53.36363663182712
58258;53.36363701608902
58476;53.36363701608902
58511;53.363637016089015
59289;53.36363700134877
59493;53.36363700134877
59512;53.36363653538446
60322;53.3636367609965
60504;53.3636367609965
60536;53.3636367609965
60681;53.36363651038984
61348;53.36363665202786
61524;53.36363665202786
61562;53.36363647755759
62379;53.3636366042859
62538;53.3636366042859
62565;53.3636366042859
63406;53.36363660652249
63549;53.36363660652249
63573;53.363636469635225
